run_id,algorithm_name,input_size,execution_time_ms,run_at
e56ed089-35fd-4993-bb8b-36dd232c8e75,BFS,50,50.1001,2026-08-23T14:08:41.399595400
f7fc77b9-51a1-4ba3-ac39-23f0a6e9f58f,DFS,50,15.0540,2026-08-23T14:08:41.479056100
058fa009-18bc-4d0e-866a-5efbd2ee2eb8,Dijkstra,50,43.2310,2026-08-23T14:08:41.633579700
ec3ab9f1-ae77-4e9d-b179-8a3020eb2a14,Prim,50,48.1395,2026-08-23T14:08:41.794000100
9291f47e-8b96-4300-a00f-765995938c25,Kruskal,50,30.9042,2026-08-23T14:08:41.917472900
5f139d2e-1a93-4b2c-9cdb-5bc1422db75f,BFS,100,0.5186,2026-08-23T14:08:41.945226800
9ed9569b-4097-42d1-8b6d-79620bbfaac7,DFS,100,0.8829,2026-08-23T14:08:41.994172800
ccf1a0b2-0709-4980-aaf8-8cd8c753a59c,Dijkstra,100,1.1636,2026-08-23T14:08:42.058252600
3746fcbd-a41d-45f1-a549-29795407b73d,Prim,100,1.0950,2026-08-23T14:08:42.262696100
0f5ee05c-4450-49b7-b276-194777e39274,Kruskal,100,1.1824,2026-08-23T14:08:42.284616
69cf192c-0b1a-4a37-beb7-b753bde024e1,BFS,200,0.7922,2026-08-23T14:08:42.318388400
c3cc933d-c8a5-44f0-b31f-a4edd1eb2fd8,DFS,200,1.1139,2026-08-23T14:08:42.338290400
646fbc1a-dbea-47e0-9841-348eb0005ffe,Dijkstra,200,1.9083,2026-08-23T14:08:42.360743200
2bfc60a8-460f-4310-889e-d9197fa1af40,Prim,200,1.8758,2026-08-23T14:08:42.395022
f6a3a2b2-a74b-4347-82c6-e13b4f810724,Kruskal,200,2.5273,2026-08-23T14:08:42.426789200
d47e58dd-2f75-4750-b650-18cc86d17b35,BFS,500,2.4439,2026-08-23T14:08:42.755491300
d030bc6f-3c6f-4371-a858-5f0bd4b62615,DFS,500,3.2753,2026-08-23T14:08:42.788733600
81af2080-c9cd-4405-ab6c-3af704ef8079,Dijkstra,500,5.6399,2026-08-23T14:08:42.824280700
25731f51-8b25-4bb2-b17e-8133e8202b55,Prim,500,5.5849,2026-08-23T14:08:42.875775200
e1a44e88-1c9f-4bfe-808d-ce88c5414edc,Kruskal,500,4.4258,2026-08-23T14:08:42.987069600
